Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
43985,,15,C,Arson,34.78333,-76.78333,NC,2/1/09,,Feb,,,,1/2/09,2009,Jan,723037,12025.47156,99999,2006,2020,16,1,723037-93765-2009.gz,7.269444444,5.247420635,7.102641509,8.047836257,4.065145228,4.050396825,3.68,4.347836257,77.23640167,77.87225549,80.77186312,69.91686183,43.2,18.1,12.8,79.1,0.088163901
44003,POPE,1,B,Debris Burning,36.4667,-78.9667,NC,3/25/02,,Mar,,,,2/23/02,2002,Feb,722193,20222.19349,3722,1973,2020,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.106252346
44037,,8,B,Missing/Undefined,34.66455,-78.9059,NC,9/9/07,,Sep,,,,8/10/07,2007,Aug,720279,30461.81253,99999,2006,2020,16,0.1,720279-03705-2007.gz,26.77261732,25.55935614,25.12,23.07871449,1.137880987,0.509758551,0.470736842,0.712249651,70.41700405,70.98152174,65.8961039,72.52114883,0,0,0,0,0.106806759
44076,,2,B,Debris Burning,36.5217,-77.485,NC,8/3/95,,Aug,,,,7/4/95,1995,Jul,723079,37542.11776,93796,1976,2005,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.093239735
44170,,1,B,Missing/Undefined,36.38202,-80.817,NC,1/19/07,,Jan,,,,12/20/06,2006,Dec,723177,25207.78836,63807,1945,2020,0,0.1,723177-63807-2006.gz,8.165269461,0,0,0,1.179640719,0,0,0,66.36167665,0,0,0,0,0,0,0,0.122618882
44186,,1,B,Debris Burning,34.9983,-79.765,NC,12/24/94,,Dec,,,,11/24/94,1994,Nov,722243,11916.42652,3738,1989,1998,16,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.114156416
44243,AXTELL-RIDGEWAY RD FIRE,1,B,Debris Burning,36.4167,-78.2333,NC,1/12/01,,Jan,,,,12/13/00,2000,Dec,724118,33802.43018,99999,1994,2020,0,0.1,724118-99999-2000.gz,0.130242826,-2.042553191,0,0,1.766225166,1.606382979,0,0,63.4375,63.35802469,0,0,0,0,0,0,0.099846142
44244,,2,B,Arson,34.995,-79.1917,NC,4/10/95,,Apr,,,,3/11/95,1995,Mar,723030,25922.1917,13714,1990,2009,16,0.1,723030-13714-1995.gz,14.38774373,14.62395543,16.07559524,19.03509015,2.887290503,2.829411765,3.318072289,3.123849372,46.26153846,45.6442577,42.96987952,52.48603352,2,2,0,28,0.109110766
44246,,75,C,Missing/Undefined,34.98232,-79.45883,NC,5/1/07,,May,,,,4/1/07,2007,Apr,723034,6762.741211,99999,2005,2020,16,1,723034-93747-2007.gz,17.00900538,17.43702624,22.82481203,18.87053265,3.932570659,3.583965015,4.227819549,2.575388601,64.23521127,58.58017493,60.93984962,70.48787879,864.2,813.1,0,24.4,0.111469242
44261,,34,C,Debris Burning,36.395,-77.9183,NC,4/8/95,,Apr,,,,3/9/95,1995,Mar,724118,34065.55668,99999,1994,2020,0,1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.097100548
44271,NICHOLS FIRE,1,B,Debris Burning,36.2333,-77.0167,NC,1/1/01,,Jan,,,,12/2/00,2000,Dec,723079,15613.89982,93796,1976,2005,0,0.1,723079-99999-2000.gz,2.412256267,1.04178273,-0.443113772,0,1.69846583,1.604178273,1.601796407,0,66.96947674,58.89488636,53.02994012,0,0,0,0,0,0.089318921
44296,HILLCREST,2,B,Arson,34.9833,-79.1833,NC,12/8/01,,Dec,,,,11/8/01,2001,Nov,723030,26463.08462,13714,1990,2009,16,0.1,723030-99999-2001.gz,14.04434907,16.11538462,13.94797688,10.63418803,1.796602659,1.785754986,1.610843373,2.506540448,67.66292135,72.70720721,67.83193277,61.18346253,27,27,0,30.1,0.109044195
44316,LOCK'S CREEK CHURCH,5,B,Arson,35.0083,-78.8417,NC,3/5/98,,Mar,,,,2/3/98,1998,Feb,723035,4700.427407,99999,1937,2020,15,0.1,723035-99999-1998.gz,10.50524738,12.42307692,12.70700637,13.2936747,3.6003003,3.369436202,2.480254777,3.420361991,67.9966443,60.36688312,57.1942446,61.45818815,0,0,0,0,0.106026474
44325,UNION HIL1,1,B,Debris Burning,35.4718,-83.3227,NC,4/26/01,4/26/01,Apr,4/26/01 14:15,4/26/01 15:30,0 days 00:00:00.000000000,3/27/01,2001,Mar,A00003,28958.35559,63844,1996,2016,15,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.145445396
44358,,12,C,Arson,34.85344999,-79.15915999,NC,3/17/06,,Mar,,,,2/15/06,2006,Feb,723109,20113.18901,93782,1973,2020,16,1,723109-93782-2006.gz,11.10264064,13.34497608,16.8223301,13.15498721,3.354075775,3.786363636,3.997572816,3.305242967,64.19272727,62.05405405,64.56122449,58.31476684,50.8,19.2,1.4,23.1,0.108913274
44364,,3,B,Debris Burning,35.16339998,-81.19064001,NC,1/28/06,,Jan,,,,12/29/05,2005,Dec,722132,50855.96688,99999,1942,2020,15,0.1,722132-99999-2005.gz,7.97044335,0,0,0,1.718796992,0,0,0,63.76691729,0,0,0,0,0,0,0,0.12665583
44383,PHILLIPS FIRE,2,B,Debris Burning,34.2833,-78.2833,NC,3/16/00,,Mar,,,,2/15/00,2000,Feb,723013,35337.05635,13748,1973,2005,16,0.1,723013-13748-2000.gz,13.68733252,14.95216285,16.38315217,15.01102362,3.220706456,3.594910941,4.356521739,4.968361582,68.62762022,64.55384615,65.11956522,71.09746835,42.7,30,24.4,47.5,0.101588961
44437,,3,B,Missing/Undefined,35.91096,-78.49137,NC,3/26/08,,Mar,,,,2/25/08,2008,Feb,722141,19142.08793,99999,1973,2020,15,0.1,722141-03731-2008.gz,10.64230397,11.87356322,11.84232365,14.58382066,2.259244918,2.221743295,2.744605809,2.185282651,54.73862536,50.61781609,49.00622407,66.26705653,0,0,0,0,0.102403267
44464,MCDUFFIE RD.,4,B,Debris Burning,34.7167,-79.0667,NC,2/10/01,,Feb,,,,1/11/01,2001,Jan,723108,11857.72623,99999,2000,2004,16,0.1,723108-13776-2001.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108186698
44492,AGAPE,8,B,Debris Burning,35.025,-78.3617,NC,4/17/96,,Apr,,,,3/18/96,1996,Mar,722073,5440.141828,3727,1948,2020,15,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1018045
